id	population	Super-population	GTFreq_00	GTFreq_01	GTFreq_11	REF_Freq	ALT_Freq
6_2	SIB	EAS	0.6944164989939637	0.2149144869215291	0.090669014084507	0.8018737424547283	0.1981262575452717
6_3	SIB	EAS	0.6544265593561368	0.289864185110664	0.0557092555331991	0.7993586519114688	0.2006413480885311
6_8	SIB	EAS	0.6623490945674044	0.2786720321931589	0.0589788732394366	0.801685110663984	0.198314889336016
6_4	SIB	EAS	0.6620975855130785	0.2801810865191146	0.0577213279678068	0.8021881287726358	0.1978118712273642
59_1	SIB	EAS	0.6530432595573441	0.28420523138833	0.0627515090543259	0.795145875251509	0.2048541247484909
59_2	SIB	EAS	0.664864185110664	0.2764084507042254	0.0587273641851106	0.8030684104627768	0.1969315895372232
59_3	SIB	EAS	0.6519114688128773	0.283953722334004	0.0641348088531187	0.7938883299798793	0.2061116700201206
58_1	SIB	EAS	0.6573189134808853	0.2904929577464789	0.0521881287726358	0.8025653923541247	0.1974346076458752
58_2	SIB	EAS	0.6555583501006036	0.2847082494969818	0.0597334004024144	0.7979124748490946	0.2020875251509054
58_3	SIB	EAS	0.6541750503018109	0.2874748490945674	0.0583501006036217	0.7979124748490946	0.2020875251509054
57_5	SIB	EAS	0.6680080482897385	0.2779175050301811	0.0540744466800804	0.806966800804829	0.193033199195171
57_4	SIB	EAS	0.6574446680080482	0.289738430583501	0.0528169014084507	0.8023138832997987	0.1976861167002013
57_1	SIB	EAS	0.6627263581488934	0.2809356136820926	0.056338028169014	0.8031941649899397	0.1968058350100603
57_2	SIB	EAS	0.6597082494969819	0.2775402414486921	0.0627515090543259	0.7984783702213281	0.2015216297786719
57_3	SIB	EAS	0.6658702213279678	0.2736418511066398	0.0604879275653923	0.8026911468812877	0.1973088531187122
56_1	SIB	EAS	0.6576961770623743	0.2845824949698189	0.0577213279678068	0.7999874245472838	0.2000125754527162
56_2	SIB	EAS	0.6639839034205232	0.2798038229376257	0.0562122736418511	0.803885814889336	0.196114185110664
56_3	SIB	EAS	0.6627263581488934	0.28420523138833	0.0530684104627766	0.8048289738430583	0.1951710261569417
55_1	SIB	EAS	0.6560613682092555	0.2867203219315895	0.0572183098591549	0.7994215291750503	0.2005784708249497
55_3	SIB	EAS	0.6600855130784709	0.2800553319919517	0.0598591549295774	0.8001131790744467	0.1998868209255533
55_4	SIB	EAS	0.6670020120724346	0.2738933601609657	0.0591046277665995	0.8039486921529175	0.1960513078470824
54_2	SIB	EAS	0.6614688128772636	0.2787977867203219	0.0597334004024144	0.8008677062374245	0.1991322937625754
53_1	SIB	EAS	0.6598340040241448	0.2759054325955734	0.0642605633802816	0.7977867203219315	0.2022132796780684
53_2	SIB	EAS	0.6643611670020121	0.2857142857142857	0.0499245472837022	0.807218309859155	0.192781690140845
53_3	SIB	EAS	0.6585764587525151	0.2810613682092555	0.0603621730382293	0.7991071428571429	0.2008928571428571
52_1	SIB	EAS	0.6638581488933601	0.278420523138833	0.0577213279678068	0.8030684104627767	0.1969315895372233
52_2	SIB	EAS	0.6636066398390342	0.2804325955734406	0.0559607645875251	0.8038229376257545	0.1961770623742454
52_4	SIB	EAS	0.6638581488933601	0.2790492957746479	0.0570925553319919	0.8033827967806841	0.1966172032193158
52_3	SIB	EAS	0.6603370221327968	0.2779175050301811	0.0617454728370221	0.7992957746478873	0.2007042253521127
51_1	SIB	EAS	0.6681338028169014	0.2772887323943662	0.0545774647887323	0.8067781690140845	0.1932218309859155
51_2	SIB	EAS	0.6636066398390342	0.2722585513078471	0.0641348088531187	0.7997359154929577	0.2002640845070422
51_4	SIB	EAS	0.6598340040241448	0.2796780684104628	0.0604879275653923	0.7996730382293762	0.2003269617706238
51_3	SIB	EAS	0.66511569416499	0.2765342052313883	0.0583501006036217	0.8033827967806841	0.1966172032193158
50_1	SIB	EAS	0.6412223340040242	0.2922535211267605	0.0665241448692152	0.7873490945674044	0.2126509054325955
50_2	SIB	EAS	0.6602112676056338	0.2800553319919517	0.0597334004024144	0.8002389336016096	0.1997610663983904
50_4	SIB	EAS	0.6431086519114688	0.2974094567404426	0.0594818913480885	0.7918133802816901	0.2081866197183098
5_1	SIB	EAS	0.6524144869215291	0.2860915492957746	0.0614939637826961	0.7954602615694164	0.2045397384305836
5_2	SIB	EAS	0.6654929577464789	0.2786720321931589	0.0558350100603621	0.8048289738430583	0.1951710261569417
5_3	SIB	EAS	0.6522887323943662	0.2927565392354124	0.0549547283702213	0.7986670020120725	0.2013329979879274
49_1	SIB	EAS	0.670523138832998	0.2754024144869215	0.0540744466800804	0.8082243460764588	0.1917756539235412
49_3	SIB	EAS	0.670271629778672	0.2692404426559356	0.0604879275653923	0.8048918511066399	0.1951081488933601
49_2	SIB	EAS	0.6664989939637826	0.2760311871227364	0.0574698189134808	0.8045145875251509	0.195485412474849
49_4	SIB	EAS	0.6585764587525151	0.2765342052313883	0.0648893360160965	0.7968435613682093	0.2031564386317906
48_1	SIB	EAS	0.6698943661971831	0.2708752515090543	0.0592303822937625	0.8053319919517103	0.1946680080482896
48_2	SIB	EAS	0.6756790744466801	0.261192152917505	0.0631287726358148	0.8062751509054326	0.1937248490945674
48_3	SIB	EAS	0.6729124748490946	0.2699949698189134	0.0570925553319919	0.8079099597585513	0.1920900402414487
48_5	SIB	EAS	0.6741700201207244	0.2717555331991951	0.0540744466800804	0.810047786720322	0.189952213279678
48_4	SIB	EAS	0.6729124748490946	0.2691146881287726	0.0579728370221327	0.8074698189134809	0.1925301810865191
47_3	SIB	EAS	0.658702213279678	0.2887323943661972	0.0525653923541247	0.8030684104627767	0.1969315895372233
47_4	SIB	EAS	0.6643611670020121	0.278546277665996	0.0570925553319919	0.80363430583501	0.1963656941649899
47_1	SIB	EAS	0.6639839034205232	0.272510060362173	0.0635060362173038	0.8002389336016097	0.1997610663983903
46_1	SIB	EAS	0.6566901408450704	0.2804325955734406	0.0628772635814889	0.7969064386317907	0.2030935613682093
46_2	SIB	EAS	0.6727867203219315	0.2740191146881288	0.0531941649899396	0.8097962776659959	0.190203722334004
46_5	SIB	EAS	0.6610915492957746	0.284079476861167	0.0548289738430583	0.8031312877263581	0.1968687122736419
46_4	SIB	EAS	0.6622233400402414	0.2800553319919517	0.0577213279678068	0.8022510060362172	0.1977489939637827
46_3	SIB	EAS	0.6637323943661971	0.2801810865191146	0.0560865191146881	0.8038229376257544	0.1961770623742456
46_6	SIB	EAS	0.6692655935613682	0.2757796780684104	0.0549547283702213	0.8071554325955734	0.1928445674044265
45_1	SIB	EAS	0.6693913480885312	0.272510060362173	0.0580985915492957	0.8056463782696177	0.1943536217303823
45_2	SIB	EAS	0.6629778672032193	0.2804325955734406	0.05658953722334	0.8031941649899396	0.1968058350100604
45_4	SIB	EAS	0.6632293762575453	0.2787977867203219	0.0579728370221327	0.8026282696177063	0.1973717303822937
45_5	SIB	EAS	0.6604627766599598	0.2830734406438632	0.056463782696177	0.8019994969818913	0.1980005030181086
45_3	SIB	EAS	0.664864185110664	0.2769114688128772	0.0582243460764587	0.8033199195171027	0.1966800804828973
44_1	SIB	EAS	0.6659959758551308	0.2702464788732394	0.0637575452716297	0.8011192152917506	0.1988807847082494
44_2	SIB	EAS	0.6763078470824949	0.2574195171026157	0.0662726358148893	0.8050176056338028	0.1949823943661972
44_3	SIB	EAS	0.6605885311871227	0.2809356136820926	0.0584758551307847	0.801056338028169	0.198943661971831
43_1	SIB	EAS	0.6755533199195171	0.2694919517102616	0.0549547283702213	0.8102992957746479	0.1897007042253521
43_2	SIB	EAS	0.6624748490945674	0.2805583501006036	0.0569668008048289	0.8027540241448693	0.1972459758551307
43_3	SIB	EAS	0.6731639839034205	0.2735160965794768	0.0533199195171026	0.8099220321931588	0.1900779678068411
43_4	SIB	EAS	0.6775653923541247	0.2632042253521127	0.0592303822937625	0.8091675050301811	0.1908324949698189
42_1	SIB	EAS	0.6580734406438632	0.2850855130784708	0.0568410462776659	0.8006161971830986	0.1993838028169013
42_2	SIB	EAS	0.6622233400402414	0.2764084507042254	0.0613682092555332	0.800427565392354	0.1995724346076459
42_4	SIB	EAS	0.6618460764587525	0.2786720321931589	0.0594818913480885	0.8011820925553319	0.1988179074446681
42_3	SIB	EAS	0.6695171026156942	0.2689889336016096	0.0614939637826961	0.804011569416499	0.195988430583501
41_2	SIB	EAS	0.6747987927565392	0.2653420523138833	0.0598591549295774	0.8074698189134808	0.1925301810865192
41_1	SIB	EAS	0.6546780684104627	0.2800553319919517	0.0652665995975855	0.7947057344064385	0.2052942655935614
41_3	SIB	EAS	0.65920523138833	0.2815643863179074	0.0592303822937625	0.7999874245472837	0.2000125754527163
40_2	SIB	EAS	0.6664989939637826	0.2746478873239437	0.0588531187122736	0.8038229376257545	0.1961770623742454
40_1	SIB	EAS	0.6720321931589537	0.2681086519114688	0.0598591549295774	0.8060865191146881	0.1939134808853119
40_4	SIB	EAS	0.6735412474849095	0.2674798792756539	0.0589788732394366	0.8072811871227364	0.1927188128772635
40_3	SIB	EAS	0.6618460764587525	0.2809356136820926	0.0572183098591549	0.8023138832997988	0.1976861167002012
4_3	SIB	EAS	0.6622233400402414	0.2750251509054326	0.0627515090543259	0.7997359154929577	0.2002640845070422
4_1	SIB	EAS	0.6681338028169014	0.2740191146881288	0.0578470824949698	0.8051433601609658	0.1948566398390342
4_4	SIB	EAS	0.6584507042253521	0.2858400402414487	0.0557092555331991	0.8013707243460765	0.1986292756539235
4_2	SIB	EAS	0.6620975855130785	0.2806841046277666	0.0572183098591549	0.8024396378269618	0.1975603621730381
39_5	SIB	EAS	0.6716549295774648	0.2694919517102616	0.0588531187122736	0.8064009054325956	0.1935990945674044
39_1	SIB	EAS	0.6692655935613682	0.2742706237424547	0.056463782696177	0.8064009054325956	0.1935990945674044
39_2	SIB	EAS	0.6510311871227364	0.2889839034205231	0.0599849094567404	0.795523138832998	0.204476861167002
39_3	SIB	EAS	0.659330985915493	0.2816901408450704	0.0589788732394366	0.8001760563380282	0.1998239436619717
37_1	SIB	EAS	0.6638581488933601	0.2816901408450704	0.0544517102615694	0.8047032193158954	0.1952967806841046
37_2	SIB	EAS	0.6709004024144869	0.2721327967806841	0.0569668008048289	0.806966800804829	0.193033199195171
37_5	SIB	EAS	0.6629778672032193	0.2809356136820926	0.0560865191146881	0.8034456740442656	0.1965543259557344
37_4	SIB	EAS	0.6602112676056338	0.2816901408450704	0.0580985915492957	0.801056338028169	0.198943661971831
37_3	SIB	EAS	0.6603370221327968	0.2831991951710261	0.056463782696177	0.8019366197183099	0.1980633802816901
36_1	SIB	EAS	0.6683853118712274	0.2678571428571428	0.0637575452716297	0.8023138832997988	0.1976861167002012
35_1	SIB	EAS	0.6675050301810865	0.2718812877263581	0.0606136820925553	0.8034456740442656	0.1965543259557344
35_2	SIB	EAS	0.664864185110664	0.2823189134808853	0.0528169014084507	0.8060236418511066	0.1939763581488933
35_3	SIB	EAS	0.6691398390342053	0.2791750503018109	0.0516851106639839	0.8087273641851107	0.1912726358148893
35_6	SIB	EAS	0.6585764587525151	0.2810613682092555	0.0603621730382293	0.7991071428571429	0.2008928571428571
35_5	SIB	EAS	0.6675050301810865	0.2766599597585513	0.0558350100603621	0.8058350100603622	0.1941649899396378
35_4	SIB	EAS	0.6511569416498993	0.283827967806841	0.0650150905432595	0.7930709255533199	0.20692907444668
35_7	SIB	EAS	0.6712776659959758	0.2736418511066398	0.0550804828973843	0.8080985915492958	0.1919014084507042
34_1	SIB	EAS	0.6584507042253521	0.2787977867203219	0.0627515090543259	0.7978495975855131	0.2021504024144869
34_3	SIB	EAS	0.6350603621730382	0.3018108651911468	0.0631287726358148	0.7859657947686116	0.2140342052313883
33_3	SIB	EAS	0.6614688128772636	0.2803068410462777	0.0582243460764587	0.8016222334004024	0.1983777665995976
33_1	SIB	EAS	0.670648893360161	0.2696177062374245	0.0597334004024144	0.8054577464788732	0.1945422535211267
33_2	SIB	EAS	0.6690140845070423	0.27238430583501	0.0586016096579476	0.8052062374245472	0.1947937625754527
33_5	SIB	EAS	0.6603370221327968	0.2816901408450704	0.0579728370221327	0.801182092555332	0.1988179074446679
32_1	SIB	EAS	0.65920523138833	0.2799295774647887	0.0608651911468812	0.7991700201207244	0.2008299798792756
32_2	SIB	EAS	0.6661217303822937	0.266976861167002	0.0669014084507042	0.7996101609657947	0.2003898390342052
32_3	SIB	EAS	0.6623490945674044	0.2771629778672032	0.0604879275653923	0.8009305835010061	0.1990694164989939
31_1	SIB	EAS	0.6697686116700201	0.2736418511066398	0.05658953722334	0.80658953722334	0.1934104627766599
31_2	SIB	EAS	0.6574446680080482	0.283827967806841	0.0587273641851106	0.7993586519114688	0.2006413480885311
31_3	SIB	EAS	0.6589537223340041	0.2848340040241449	0.0562122736418511	0.8013707243460765	0.1986292756539235
30_1	SIB	EAS	0.6604627766599598	0.2772887323943662	0.062248490945674	0.7991071428571429	0.2008928571428571
30_2	SIB	EAS	0.6654929577464789	0.2789235412474849	0.0555835010060362	0.8049547283702213	0.1950452716297787
30_3	SIB	EAS	0.6736670020120724	0.2665995975855131	0.0597334004024144	0.806966800804829	0.193033199195171
3_1	SIB	EAS	0.6798289738430584	0.2596830985915493	0.0604879275653923	0.809670523138833	0.1903294768611669
3_2	SIB	EAS	0.6602112676056338	0.2814386317907444	0.0583501006036217	0.800930583501006	0.199069416498994
3_4	SIB	EAS	0.6709004024144869	0.2664738430583501	0.0626257545271629	0.804137323943662	0.195862676056338
29_1	SIB	EAS	0.664612676056338	0.2810613682092555	0.0543259557344064	0.8051433601609658	0.1948566398390342
29_2	SIB	EAS	0.6603370221327968	0.2892354124748491	0.0504275653923541	0.8049547283702213	0.1950452716297787
29_3	SIB	EAS	0.6638581488933601	0.2829476861167002	0.0531941649899396	0.8053319919517102	0.1946680080482897
28_1	SIB	EAS	0.664864185110664	0.2823189134808853	0.0528169014084507	0.8060236418511066	0.1939763581488933
28_2	SIB	EAS	0.6657444668008048	0.2752766599597585	0.0589788732394366	0.803382796780684	0.1966172032193159
28_3	SIB	EAS	0.6661217303822937	0.2757796780684104	0.0580985915492957	0.804011569416499	0.195988430583501
27_1	SIB	EAS	0.6686368209255533	0.2689889336016096	0.062374245472837	0.8031312877263581	0.1968687122736419
27_2	SIB	EAS	0.6644869215291751	0.2775402414486921	0.0579728370221327	0.8032570422535212	0.1967429577464787
27_4	SIB	EAS	0.6671277665995976	0.2721327967806841	0.0607394366197183	0.8031941649899397	0.1968058350100603
27_3	SIB	EAS	0.670145875251509	0.2764084507042254	0.0534456740442656	0.8083501006036218	0.1916498993963782
26_2	SIB	EAS	0.6653672032193159	0.2776659959758551	0.0569668008048289	0.8042002012072434	0.1957997987927565
26_1	SIB	EAS	0.6637323943661971	0.2775402414486921	0.0587273641851106	0.8025025150905432	0.1974974849094568
26_3	SIB	EAS	0.6690140845070423	0.2745221327967806	0.056463782696177	0.8062751509054326	0.1937248490945674
26_4	SIB	EAS	0.6653672032193159	0.2741448692152917	0.0604879275653923	0.8024396378269617	0.1975603621730383
26_5	SIB	EAS	0.6763078470824949	0.2639587525150905	0.0597334004024144	0.8082872233400402	0.1917127766599597
25_1	SIB	EAS	0.653420523138833	0.2869718309859155	0.0596076458752515	0.7969064386317908	0.2030935613682092
25_2	SIB	EAS	0.6716549295774648	0.2693661971830985	0.0589788732394366	0.806338028169014	0.193661971830986
25_4	SIB	EAS	0.6641096579476862	0.2813128772635815	0.0545774647887323	0.804766096579477	0.195233903420523
25_3	SIB	EAS	0.653169014084507	0.2928822937625754	0.0539486921529175	0.7996101609657947	0.2003898390342052
24_4	SIB	EAS	0.6579476861167002	0.2850855130784708	0.0569668008048289	0.8004904426559356	0.1995095573440644
24_1	SIB	EAS	0.6698943661971831	0.2712525150905432	0.0588531187122736	0.8055206237424548	0.1944793762575452
24_2	SIB	EAS	0.6672535211267606	0.2735160965794768	0.0592303822937625	0.8040115694164991	0.1959884305835009
24_3	SIB	EAS	0.6566901408450704	0.2837022132796781	0.0596076458752515	0.7985412474849094	0.2014587525150906
24_6	SIB	EAS	0.6556841046277666	0.2889839034205231	0.0553319919517102	0.8001760563380282	0.1998239436619717
24_5	SIB	EAS	0.6603370221327968	0.2767857142857143	0.0628772635814889	0.7987298792756539	0.2012701207243461
23_1	SIB	EAS	0.6620975855130785	0.2813128772635815	0.05658953722334	0.8027540241448693	0.1972459758551307
23_2	SIB	EAS	0.6579476861167002	0.2824446680080483	0.0596076458752515	0.7991700201207244	0.2008299798792756
23_3	SIB	EAS	0.6570674044265593	0.2796780684104628	0.0632545271629778	0.7969064386317907	0.2030935613682093
22_1	SIB	EAS	0.670145875251509	0.2711267605633803	0.0587273641851106	0.8057092555331992	0.1942907444668008
22_2	SIB	EAS	0.6662474849094567	0.2653420523138833	0.0684104627766599	0.7989185110663983	0.2010814889336016
22_4	SIB	EAS	0.6657444668008048	0.2679828973843058	0.0662726358148893	0.7997359154929577	0.2002640845070422
22_3	SIB	EAS	0.6595824949698189	0.2820674044265593	0.0583501006036217	0.8006161971830986	0.1993838028169013
22_6	SIB	EAS	0.6554325955734407	0.2869718309859155	0.0575955734406438	0.7989185110663984	0.2010814889336015
